Radial Velocity,25.6,0.13,0.024,14.97,0.4,,
Radial Velocity,603,1,0.079,14.97,0.4,,
Radial Velocity,2288,2.41,0.82,12.12,0.36,,
Radial Velocity,133.71,0.49,3.37,17.62,0.9,,
Radial Velocity,692,1.15,2.5,15.1,0.42,,
Radial Velocity,4100,4.5,2.3,20.03,0.69,,
Radial Velocity,30.6,0.1434,0.081,,0.42,,
Radial Velocity,123.75,0.364,0.081,,0.42,,
Radial Velocity,14.207,0.089,0.0208,,0.47,,
Radial Velocity,3.3366487,0.031,0.043,25.2,0.51,0.346,1.18
Radial Velocity,2.64561,0.0287,0.026,19.8,0.45,,
Radial Velocity,7.3709,0.058,0.018,9.04,0.48,,
Radial Velocity,2.64388312,0.0291,0.07,10.23,0.47,0.372,1.8
Imaging,,43.5,4,17.95,1.22,,
Radial Velocity,5.3686,0.04061,0.0497,6.27,0.31,,
Radial Velocity,12.914,0.0721,0.0173,6.27,0.31,,
Radial Velocity,3.149,0.02815,0.0053,6.27,0.31,,
Radial Velocity,598.3,1.135,0.328,10.32,0.54,,
Radial Velocity,7.2004,0.0505,0.018,6.8,0.33,,
Radial Velocity,28.14,0.125,0.012,6.8,0.33,,
Radial Velocity,62.24,0.213,0.008,6.8,0.33,,
Radial Velocity,39.026,0.156,0.008,6.8,0.33,,
Radial Velocity,256.2,0.549,0.014,6.8,0.33,,
Radial Velocity,4.6938,0.039,0.035,4.54,0.35,,
Radial Velocity,1050.3,1.8,4.95,16.13,0.71,,
Radial Velocity,3.6,0.0413,0.014,16.13,0.71,,
Radial Velocity,35.37,0.187,0.036,16.13,0.71,,
Radial Velocity,38.14,0.16353,0.058,4.53,0.41,,
Radial Velocity,3657,3.56,0.68,4.94,0.45,,
Radial Velocity,35.68,0.163,0.017,4.94,0.45,,
Radial Velocity,1845,2.32,0.91,8.77,0.49,,
Radial Velocity,15.76491,0.113,3.91,10.91,0.77,,
Radial Velocity,61.1166,0.208317,2.2756,4.7,0.33,,
Radial Velocity,30.0881,0.12959,0.7142,4.7,0.33,,
Radial Velocity,1.93778,0.020807,0.021,4.7,0.33,,
Radial Velocity,124.26,0.3343,0.046,4.7,0.33,,
Imaging,,100,20,139,0.7,3,
Imaging,,320,16,145,0.9,,
Imaging,,2000,11.3,48,0.33,1.265,
Transit,4.46529976,0.05561,0.525,139,1.15,1.319,0.282
Transit,4.8878162,0.053,0.081,38,0.81,0.422,1.33
Transit,3.2130598,0.0384,0.211,142.5,0.73,0.959,0.3192
Transit,2.91625,,0.851,214,1.22,1.272,
Radial Velocity,446.27,,14.28,214,1.22,,
Transit,4.627669,0.0606,2.232,205,1.39,1.15,1.82
Transit,10.863502,0.0964,1.946,190,1.01,1.072,1.96
Transit,2.77596,0.0413,4.193,235,1.22,1.289,2.42
Transit,10.338523,0.0882,0.534,90,0.86,1.01,0.64
Radial Velocity,5584,5.6,3.4,90,0.86,,
Transit,5.508023,0.0559,0.197,166,0.77,0.995,0.25
Transit,4.008778,0.0466,0.292,215,0.84,1.132,0.25
Transit,5.6334729,0.06878,9.09,135.32,1.36,1.157,7.29
Transit,2.875317,0.0361,7.246,70,0.76,0.867,13.78
Transit,4.124481,0.0494,4.063,254,0.95,1.024,4.68
Transit,3.21222,0.0414,2.147,82,0.92,1.08,2.11
Transit,1.21288287,0.02302,2.07,393,1.1,1.224,1.406
Transit,3.35524,0.0465,0.685,396,1.19,1.242,0.44
Transit,3.652836,0.0466,0.567,297,1.01,1.19,0.42
Transit,4.234516,0.0479,0.059,134,0.82,0.565,0.4
Transit,3.039577,0.04,0.62,204,0.94,1.02,
Transit,3.257215,0.0434,0.626,395,1.02,1.212,0.44
Transit,5.723186,0.0667,0.778,322,1.21,1.107,0.71
Transit,2.899736,0.03866,0.591,138,0.92,0.827,1.29
Transit,2.810595,0.0419,0.711,193,1.24,1.34,0.37
Transit,5.005425,0.055,2.171,354,1.22,1.07,2.18
Transit,2.15000805,0.0343,,283,,1.789,
Transit,3.474474,0.0499,0.762,387,1.38,1.686,0.2
Transit,5.452654,0.0677,3.328,257,1.39,1.197,2.4
Transit,3.646706,0.0498,1.054,535,1.24,1.332,0.55
Transit,1.327347,0.0238,1.832,317,1.02,1.264,1.12
Transit,2.797436,0.0379,1.169,411,0.93,1.178,0.89
Transit,4.640382,0.0523,0.267,249,0.89,0.825,0.59
Transit,3.54387,0.0509,0.599,642,1.4,1.571,0.19
Transit,3.056536,0.04438,0.671,314,1.26,1.274,0.403
Transit,4.457243,0.0608,0.615,501,1.51,1.73,0.15
Transit,2.694047,0.0426,0.8,344,1.42,1.685,0.2
Transit,4.641878,0.0575,1.044,447,1.18,1.28,0.61
Transit,3.332687,0.0443,0.662,542,1.05,1.281,0.39
Transit,4.301219,0.0507,0.352,363,0.94,1.242,0.23
Radial Velocity,872.2,1.752,4,363,0.94,,
Transit,3.128992,0.0452,0.892,305,1.26,1.426,0.38
Transit,4.463129,0.0577,0.493,296,1.28,1.284,0.28
Transit,2.691548,0.0438,1.73,322,1.54,1.413,0.75
Transit,2.788491,0.04075,1.06,342,1.16,1.26,0.66
Transit,3.1220109,0.0453,1.35,497,1.27,1.288,0.78
Transit,4.2180278,0.05069,0.309,470,0.98,1.293,0.178
Transit,2.7535953,0.03694,0.818,385,0.89,1.009,0.98
Transit,1.9616241,0.03159,1.484,719,1.09,1.318,0.8
Transit,3.799847,0.04117,0.76,135.8,0.65,0.944,1.118
Transit,3.5852467,0.04604,0.582,480,1.01,1.182,0.435
Transit,2.7908327,0.0423,2.18,310.5,1.3,1.466,0.86
Transit,2.465295,0.0406,1.85,303,1.47,1.413,
Transit,3.852985,0.05235,1.057,261,1.29,1.33,0.558
Transit,2.2047354,0.0355,1.781,320,1.47,1.419,0.8
Transit,3.0763776,0.0487,1.52,230,1.28,1.5,0.568
Transit,3.92289,0.053,0.78,480,1.28,1.4,0.35
Transit,3.446459,0.0444,1.855,303,0.99,1.302,1.03
Transit,3.312846,0.04491,0.526,496,1.1,0.969,0.7
Transit,3.0440499,0.04057,0.543,476,0.96,1.212,0.377
Transit,2.7667641,0.03815,1.071,513,0.97,1.039,1.191
Transit,1.354133,0.023,1.345,360,0.88,1.168,1.05
Transit,3.547851,0.0485,1.071,453,1.21,1.381,0.51
Transit,2.516729,0.0362,1.323,420,1,1.02,1.55
Transit,4.763387,0.0542,0.237,257,0.94,0.912,0.39
Transit,3.3252725,0.03623,0.319,148.4,0.57,0.998,0.399
Transit,3.583893,0.04667,0.138,829,1.06,0.873,0.259
Transit,1.9153073,0.03048,0.837,622,1.03,1.065,0.85
Imaging,,53,,97,2.4,6.9,
Radial Velocity,157.57,0.76,1.7,140.85,,,
Radial Velocity,383.7,1.03,1.16,52.8,1.01,,
Radial Velocity,5.75969,0.06412,0.0416,39.02,1.06,,
Radial Velocity,16.357,0.12859,0.0378,39.02,1.06,,
Radial Velocity,49.748,0.2699,0.0805,39.02,1.06,,
Radial Velocity,122.744,0.4929,0.0722,39.02,1.06,,
Radial Velocity,604.67,1.427,0.0732,39.02,1.06,,
Radial Velocity,2205,3.381,0.2066,39.02,1.06,,
Radial Velocity,70.46,0.302,0.3,30.5,,,
Radial Velocity,20.8133,0.1532,0.172,42,,,
Radial Velocity,4.113775,,0.45,28.98,,,
Radial Velocity,127.58,0.614,5.9,164.2,,,
Radial Velocity,778.1,2.03,5.9,138.5,,,
Radial Velocity,122.1,0.46,0.05,9.24,,,
